Date,Title,Company,State,City,Level,Work Mode,Average Salary,Pay Type,Employment Type,Description
2024-06-23,Data Scientist,"Dese Research, Inc.",Alabama,Huntsville,Mid-level,,,,nan,"Familiarity with advanced machine learning, data science techniques, and mathematical approaches.
Assist with data modeling and data virtualization."
2024-06-23,Senior Data Analyst,Pci Government Services,Alabama,Huntsville,Senior,,85000.0,year,,"Must have strong technical skills in areas such as statistics, programming languages like R or Python, SQL (Structured Query Language), data visualization, and…"
2024-06-23,Data Scientist,"Interclypse, Inc.",Alabama,Huntsville,Mid-level,,,,Full-time,"Excellent interpersonal skills and ability to get along with data scientists, engineers, and customers at all levels.
Comprehensive time off and leave programs:"
2024-06-23,"Data Scientist, Mid",Booz Allen,Alabama,Huntsville,Mid-level,,123800.0,year,,"As a data scientist, you’re excited at the prospect of unlocking the secrets held by a data set, and you’re fascinated by the possibilities presented by IoT,…"
2024-06-23,Senior Data Analyst (u.s. Remote Eligible),"Eternal Word Television Network, Inc.",Alabama,Alabama,Senior,Remote,,,nan,You are experienced using web analytics and Google Analytics tool set as well as working with RESTful APIs for purposes of data integrations.
2024-06-23,Aimss - Data Scientist (all Levels),Intuitive Research And Technology Corporation,Alabama,Huntsville,Mid-level,,,,Full-time,"You will have opportunities to understand machine learning (ML) techniques and algorithms, have experience with common data science toolkits, and gain knowledge…"
2024-06-23,Statistician I,University Of Alabama At Birmingham,Alabama,Birmingham,Mid-level,,,day,Day Shift,"Collects and analyzes statistical data.
Collects, compiles, and analyzes statistical data.
Performs statistical analyses for a broad spectrum of data and…"
2024-06-23,Data Scientist (top Secret),"Spry Methods, Inc",Alabama,Huntsville,Mid-level,,,,Full-time,"Stay updated with the latest advancements in data science, machine learning, and AI technologies.
Ensure data quality and integrity throughout the data…"
2024-06-23,Senior Data Scientist,Hibbett | City Gear,Alabama,Birmingham,Senior,,,,Full-time,"Develop project plans, track progress, and communicate status updates to stakeholders to ensure successful project delivery."
2024-06-23,"Data Scientist — ""cancer Biology"" For Academic Research Support",Tuskegee University,Alabama,Tuskegee,Mid-level,,,,nan,"Apply advanced statistical techniques and machine learning algorithms to uncover patterns and insights within research data.
Will this position required travel?"
2024-06-23,"Data Scientist For Intelligence And Machine Learning - Huntsville, Al","Davidson Technologies, Inc.",Alabama,Huntsville,Mid-level,,,,Full-time,"The role involves applying advanced scientific techniques, including AI, machine learning, and data mining, to analyze intelligence data and create…"
2024-06-23,Data Scientist (top Secret),Spry Methods,Alabama,Huntsville,Mid-level,,,,Full-time,"Stay updated with the latest advancements in data science, machine learning, and AI technologies.
Ensure data quality and integrity throughout the data…"
2024-06-23,Ai Innovation Specialist,Pradco Outdoor Brands,Alabama,Birmingham,Mid-level,,,,nan,"Experience managing data science and/or machine learning projects.
Proficiency in natural language processing (NLP), machine learning, and AI technologies, with…"
2024-06-23,Data Scientist,"Code Plus, Inc.",Alabama,Huntsville,Mid-level,,,,Full-time,"Utilize advanced statistical and machine learning techniques to analyze complex datasets and derive actionable insights.
Data analytics: 5 years (Required)."
2024-06-23,Aimss - Ai Engineer (all Levels),Intuitive Research And Technology Corporation,Alabama,Huntsville,Mid-level,,,,Full-time,"In anticipation of the contract award, we are seeking Artificial Intelligence Engineers who will support the Missile Defense Agency (MDA) Agency Information…"
2024-06-23,"Data Scientist, Senior",Booz Allen,Alabama,Huntsville,Senior,,158300.0,year,,"Your deep data science and complimentary technical expertise and consulting mindset, coupled with original and innovative approaches to your work, will help…"
2024-06-23,"Data Scientist In Huntsville, Al (active Secret Clearance Required)",Deloitte,Alabama,Huntsville,Mid-level,,,,Full-time,"Our team brings professionals with diverse skillsets including deep experience in industry, AI-enabled data analytics, statistical modeling, and cloud…"
2024-06-23,Data Scientist Iv- Secret,Jacobs Engineering Group Inc.,Alabama,Huntsville,Mid-level,,,,nan,"The entire section works to provide the entire enterprise with tools and applications to assist with operational data discovery, data exploitation, data…"
2024-06-23,Statistician Lead,University Of Alabama At Birmingham,Alabama,Birmingham,Lead,,,day,Day Shift,"Consult with various researchers or administrators regarding data analytic needs, feasibility of proposed analyses, sequential procedures, and project timelines…"
2024-06-23,Associate Dean For Collections And Technical Services,University Of Alabama,Alabama,Alabama,Associate,,,,Full-time,"Proficiency with creating and analyzing detailed spreadsheets and preparing data visualizations of complex data sets.
Regular Full-time (Benefits eligible)."
2024-06-23,Cost Analyst (mathematician),Vali Incorporated,Alabama,Huntsville,Mid-level,,,,Full-time,"Manage and organize cost data, technical baseline data, and engage in cost-centric research and analysis.
Research, dissect and analyze crucial cost data from…"
2024-06-23,Aircraft Survivability Equipment Data Management Analyst - 19304,Hii,Alabama,Huntsville,Mid-level,,,,Full-time,"3 years of data management/configuration experience working within a government/DoD environment.
Experience with data management systems such as TopVue or…"
2024-06-23,Ai/ml Image Processing Engineer,Polaris Sensor Technologies,Alabama,Huntsville,Mid-level,,,,nan,"Work with scientists and engineers during and after field tests to collect optimal data sets and perform analysis.
Windows and Linux programming in C++."
2024-06-23,Multiple Opportunities Aimss - Mddc (data Analysts - Management - Scientists),Kratos Defense,Alabama,Huntsville,Mid-level,,,,Full-time,"Minimum one year of applicable experience.
Kratos Defense is currently pursuing the follow-on Missile Defense Data Center (MDDC) contract called Missile Defense…"
2024-06-23,Data Librarian (23899),Archarithms Inc,Alabama,Huntsville,Mid-level,,,,nan,"We are committed to investing in our employees by offering comprehensive health insurance options, a generous 401K plan, competitive salaries, continuous career…"
2024-06-23,Data Scientist - Sme,Sosi,Alabama,Redstone Arsenal,Mid-level,,,,Full-time,You will leverage scientific techniques to transform petabyte-scale data into insightful data products to enable data-driven decisions.
2024-06-23,Machine Learning Engineer,"Torch Technologies, Inc.",Alabama,Huntsville,Mid-level,,,,Full-time,At least five years in software development with a focus on AI and machine with proven project delivery and innovative solutions in machine learning.
2024-06-23,"Software Engineer, Ai Specialist",Intuitive Research And Technology Corporation,Alabama,Huntsville,Mid-level,,,,Full-time,You will help mentor data scientists and software engineers on best practices and emerging trends in AI and its use against data problems.
2024-06-23,Associate Dean For Collections And Technical Services,The University Of Alabama,Alabama,Alabama,Associate,,,,Full-time,Proficiency with creating and analyzing detailed spreadsheets and preparing data visualizations of complex data sets.
2024-06-23,Ai/ml Software Engineer,Leidos,Alabama,Huntsville,Mid-level,,114062.5,year,,"You will also be responsible for working with other software engineers, machine learning engineers, data scientists and product managers, contributing directly…"
2024-06-23,"Product Lead, Ai",Recruiting From Scratch,Alabama,Huntsville,Lead,,160000.0,year,,Facilitate rapid experimentation and data-driven decision-making to optimize the product and ensure market fit.
2024-06-23,Data Engineer,Kbr,Alabama,Huntsville,Mid-level,,,,Full-time,"Experience with sensor and vehicle health data.
In this role you will be part of a diverse team of developers, data scientists and technology experts to solve…"
2024-06-23,"Software Engineer, Nlp Specialist",Intuitive Research And Technology Corporation,Alabama,Huntsville,Mid-level,,,,Full-time,Experience with developing GPU-accelerated machine learning and deep learning software against applicable frameworks.
2024-06-23,"Senior Software Engineer, Applied Ai",Recruiting From Scratch,Alabama,Huntsville,Senior,,165000.0,year,,"Partner across all teams including engineers, AI scientists, researchers, designers, and product managers to bring new features into production."
2024-06-23,System Architect - Data,"Peopletec, Inc.",Alabama,Huntsville,Mid-level,,,,Full-time,"The role requires deep technical expertise in data architecture, software development, and a solid understanding of organizational change management to drive…"
2024-06-23,"Senior Software Engineer, Ai Specialist",Intuitive Research And Technology Corporation,Alabama,Huntsville,Senior,,,,Full-time,"Experience with developing GPU-accelerated machine learning and deep learning software against applicable frameworks.
MS in an AI-related technical field."
2024-06-23,Digital Contact Solutions Manager,Price Waterhouse Coopers,Alabama,Birmingham,Manager,,,,nan,"Managing a team of AI consultants, data scientists, developers and designers, providing guidance, support, and mentoring to ensure the team is aligned with the…"
2024-06-23,Senior Data Analyst - Midtown Financial Center,Northrim Bank,Alaska,Anchorage,Senior,,,,nan,"Analyze business needs to ensure data requests are fulfilled with a complete and accurate representation of the data.
Pay is depending on experience."
2024-06-23,Software Product Manager - Cryo-em Data Science,Thermo Fisher Scientific,Alaska,Alaska,Manager,,,,Full-time,"Assess needs of customers and markets with regards to data managment, develop business plans to build solutions that leverage data science to gain market share…"
2024-06-23,Data Scientist I,Republic Services,Arizona,Phoenix,Mid-level,,,,Full-time,"Participates in end-to-end data science project lifecycle – data mining and exploration, model development and evaluation, solution deployment in production,…"
2024-06-23,Data Scientist,Boeing,Arizona,Mesa,Mid-level,,,,nan,"The Boeing Company also provides eligible employees with an opportunity to enroll in a variety of benefit programs, generally including health insurance,…"
2024-06-23,Sr. Data Scientist (operations),Prosper,Arizona,Phoenix,Mid-level,,162500.0,year,,7+ years of Data Science experience with 5-7 years of experience in fintech/finance applying statistical and machine learning predictive techniques and 3+ years…
2024-06-23,Data Science - Leadership,Us Dhs Headquarters,Arizona,Chandler,Lead,,162050.0,year,,"Managing teams applying knowledge of essential cybersecurity policies to data management to develop data standards, policies, and procedures to facilitate and…"
2024-06-23,Clinical Statistical Programmer - Remote,W.l. Gore & Associates,Arizona,Flagstaff,Mid-level,Remote,,,nan,"Research data issues and/or questions pertaining to the clinical study data, including identifying and assisting in meeting the programming needs of data…"
2024-06-23,Data Scientist,Onsemi,Arizona,Scottsdale,Mid-level,,,,nan,Utilize data visualization techniques to build dashboards in Tableau and present complex supply chain insights and recommendations to stakeholders.
2024-06-23,Senior Machine Learning Engineer,Clarivate,Arizona,Chandler,Senior,,,,nan,"Leads project teams and provides technical expertise for various engineering projects.
The expected base salary for this position is $136,000 - $170,000 USD per…"
2024-06-23,Senior Data Scientist,Banner Health,Arizona,Phoenix,Senior,,61.230000000000004,hour,,"Knowledge of subject matters such as process optimization, clinical workflows, population health, public health, disease prediction, re-admissions, imaging…"
2024-06-23,Data Scientist - Telecommute Position,Petsmart,Arizona,Phoenix,Mid-level,,,,Full-time,"Responsible for focusing on business applications of customer loyalty, marketing campaigns, personalization, digital, and services through understanding and…"
2024-06-23,Data Principal Scientist,City National Bank,Arizona,Phoenix,Mid-level,,165625.0,year,,"Lead key initiatives on data mining and machine learning.
The Principal Data Scientist will lead and mentor in the design of data analytic and data science…"
2024-06-23,Sr. Supply Chain Statistical Analyst,Onsemi,Arizona,Scottsdale,Mid-level,,,,nan,Utilize data visualization techniques to build dashboards in Tableau and present complex supply chain insights and recommendations to stakeholders.
2024-06-23,Sr Ml Data Scientist,Discount Tire,Arizona,Scottsdale,Mid-level,,,,nan,"Consistently collaborates with fellow data scientists, external AI experts, and frequently interacts with business partners, project managers, cross-functional…"
2024-06-23,Rtp-research Fellow- Artificial Intelligence,Mayo Clinic,Arizona,Phoenix,Mid-level,,,,Full-time,"May work in a special engineering group, process and test algorithms, informatics, data for computer programming, and implement algorithms to apply to concepts,…"
2024-06-23,Ai/ml Engineer,Sysmind,Arizona,Phoenix,Mid-level,,,,nan,"10+ years of experience in software development, with significant expertise in Python and machine learning as a lead.
Must have Active and Genuine LinkedIn*."
2024-06-23,Product Data Management (pdm) Business Administrator,Intel,Arizona,Arizona,Mid-level,,210733.0,year,,"It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation."
2024-06-23,Senior Conversational Ai Engineer - Remote,Csaa Insurance Group,Arizona,Glendale,Senior,Remote,,,Full-time,The Senior Conversational AI Engineer is responsible for development and delivery of software in support of business capabilities and the foundational needs of…
2024-06-23,Decision Science Analyst I - Fraud,Usaa,Arizona,Phoenix,Mid-level,,,,nan,"Bachelor's degree in quantitative analytics field such as Economics, Finance, Statistics, Mathematics, Actuarial Sciences, Operations Research, Data and/or…"
2024-06-23,"Director, Health Data Science Services",University Of Arizona,Arizona,Tucson,Mid-level,,159967.5,year,,"Outstanding UA benefits include health, dental, and vision insurance plans; life insurance and disability programs; paid vacation, sick leave, and holidays; UA…"
2024-06-23,"Manager, Internal Audit Data Science",Paypal,Arizona,Arizona,Manager,,110375.0,year,,"Excellent time and project management skills and the ability to successfully manage multiple projects at once.
The successful candidate must possess:"
2024-06-23,Staff Engineer - Data Engineering/cloud,Early Warning Services,Arizona,Scottsdale,Mid-level,,,,nan,"Actively own features or systems and define their long-term health, while also improving the health of surrounding systems.
12 weeks of Paid Parental Leave."
2024-06-23,Game Statisticians And Referees For Flag Football League,Xflagfootball,Arizona,Arizona,Mid-level,,15.0,hour,,"Games begin in early July and run between 5pm and 9pm.
Pay for tracking game stats is $15 cash per game.
Pay for referees is $15 cash per game."
2024-06-23,Ai/ml Engineer,Ampcus Incorporated,Arizona,Phoenix,Mid-level,,,,nan,"Strong coding skills in Python or similar languages commonly used in machine learning and data science.
Experience with ML Frameworks: Hands-on experience with…"
2024-06-23,Lead Ai Data Engineer,Honeywell,Arizona,Phoenix,Lead,,,,nan,"Experience with dimensional modeling, data warehousing and data mining.
Experience with machine learning solutions and data science methods promotion."
2024-06-23,Senior Director Data Analytics And Ai,Honeywell,Arizona,Phoenix,Senior,,,,nan,"Lead the cross-functional AT data & analytics council, collaborating with data & analytics leaders of functions in AT."
2024-06-23,"Senior Security Data Analyst, Clearance Processing Center (hybrid)",Raytheon Technologies Corporate Headquarters,Arizona,Tucson,Senior,Hybrid,96000.0,year,,Utilize advanced statistical methods and data visualization techniques to derive actionable insights and recommendations.
2024-06-23,Principal Data Engineer,Citizens,Arizona,Phoenix,Mid-level,,,,nan,"Contribute to support and enable automated data analytics, machine learning and artificial intelligence projects."
2024-06-23,Ai Software Solutions Engineer,Intel,Arizona,Arizona,Mid-level,,202652.0,year,,"Demonstrated project work in deep learning, generative AI, and Large Language Models (LLMs).
The candidate must possess a Bachelor’s degree (with 3+ years’ work…"
2024-06-23,"Scientist, Research Data",University Of Arizona,Arizona,Tucson,Mid-level,,86870.5,year,,"Experience working in algorithms, scientific computing, and machine learning or statistics.
Outstanding UA benefits include health, dental, and vision insurance…"
2024-06-23,Partner Sales Engineer,Samsara,Arizona,Phoenix,Mid-level,,207107.5,year,,"This may include solution proposals, training or enablement materials to help others better understand how Samsara data and the Insurance Partner solution works…"
2024-06-23,Director Data Science & Advanced Analytics,Republic Services,Arizona,Phoenix,Mid-level,,,,Full-time,"The position oversees a team of data scientists, analysts who will develop tools, using the Company’s internal and external data, to identify business and…"
2024-06-23,Meteorologist - Predictive Services & Fire Science Modeling,Aps,Arizona,Phoenix,Mid-level,,,,nan,"Review, analyze, and report on relevant new and emerging scientific and technical developments that may be implemented to improve forecasting and reduce weather…"
2024-06-23,Ai Software Product Manager,Intel,Arizona,Phoenix,Manager,,223610.0,year,,"The AI Software Product Management team within Intel's Software and Advanced Technology Group (SATG), is responsible for the strategy and management of a…"
2024-06-23,"Ai & Data, Sr. Consultant (insurance)",Deloitte,Arizona,Tempe,Mid-level,,,,Full-time,"Managing changes to project scope, project schedule, and project costs to keep the project plan accurate, updated, as defined in the change management plan."
2024-06-23,Patent Agent (w/2+ Years Ip Ai/machine Learning Software Exp.),Sonja Cotton & Associates,Arizona,Phoenix,Mid-level,,112897.88500000001,year,,"-Advise patent litigation teams based on your technical and scientific area of expertise.
Strong background in either Computer Science or Engineering Industry…"
2024-06-23,Advanced Ml Engineer,Honeywell,Arizona,Phoenix,Mid-level,,,,nan,"3+ years of experience with one or more of the following machine learning topics: classification, clustering, optimization, deep learning."
2024-06-23,Senior Engineer Java/ai/ml,Amex,Arizona,Phoenix,Senior,,150000.0,year,,"Collaborate with data scientists and engineers to design and optimize AI/ML solutions.
O Deep understanding of various machine learning algorithms such as…"
2024-06-23,"Product Lead, Ai",Recruiting From Scratch,Arizona,Mesa,Lead,,160000.0,year,,Facilitate rapid experimentation and data-driven decision-making to optimize the product and ensure market fit.
2024-06-23,"Senior Software Engineer, Applied Ai",Recruiting From Scratch,Arizona,Mesa,Senior,,165000.0,year,,"Partner across all teams including engineers, AI scientists, researchers, designers, and product managers to bring new features into production."
