Title,Company,Location,Salary,Description,Job URL,Date,State
Data Scientist,"DESE Research, Inc.","Huntsville, AL 35806",,"Familiarity with advanced machine learning, data science techniques, and mathematical approaches.
Assist with data modeling and data virtualization.",https://www.indeed.com/rc/clk?jk=b31b63cb0d9fdd0f&bb=iyky3AQomuxeNprvj0oz9HyPara7dK1M9INizUv8kosQ394A7WGaCTtBbYUOGCiGAIxUmt1U3X2Kt-adR663FfscJlBBLKLs6Q3kY2IhY5ZFWlikYNcXP91yqruJz9PL&xkcb=SoCe67M3_jNDenxlnp0LbzkdCdPP&fccid=0e6b3ef446f683d5&vjs=3,2024-06-23,Alabama
Senior Data Analyst,PCI Government Services,"Hybrid work in Huntsville, AL 35808","From $85,000 a year","Must have strong technical skills in areas such as statistics, programming languages like R or Python, SQL (Structured Query Language), data visualization, and…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DAnjQ3d1UlIVCz0rxX9AWaFqnt3zYKGvk61POzAUhoZsWeEtZFNWBxknOVCPyoQBZVCu9gBC_ruUUFNYNTS-rJPytM-oLKUduwCx2tugWxDvRtLU3Vjq9JDP3O4r6c_KaLi_AC2ohNf9BEFGfINCVNBJoocCAI98csr4e6T1GfY73O9qXNdMXDejjVXCX9cM9u9wK1GoUfRIiGupVGw8QRv5TPQqC_0PuVeS5XsctS0_ISqA6XN12gu2eX6q-ly1ZM4cFcf1QOYsxKmEdcBCxHvvvsIZ9MNyUqcuROMHOF_8OJRQGn-jQTtopODAPbDW7dxlbmnR3zdWIIaZRfzrJ6fVYZ6-glsfC56Vn6drYB1k6aM5MICa1BGiDM1v-cp-6cq1cZXUt2lakCw2Wc1zeLeIW5GHd8rqI44LndVXgR-sosWvs8GpNWBs-qvAWNprvNmXslJxgzr-iSzrWQ8uAaLXq2DLA4o5h6QoLC4IGNr8vE5CtBjR937ywDjaPg9X6EOGJPDwNpsdBd4dlkcm_gOZk00Wo_tgcTN3Co28ukYIe-Y6KI4lOsADGpzyajG-nYDvkvMVRtUYJTTWYL5Abp74Z5l1Qv8y96pGie9fTtwCubNEbYlUaIAqZegNTahubGdG5DRz-eMebZyypEidv8dxC45MSO0ewxCsKgyDF50w==&xkcb=SoDe6_M3_jNDenxlnp0KbzkdCdPP&camk=4HOcmqOLYrAEMidSGfgtkg==&p=1&fvj=1&vjs=3,2024-06-23,Alabama
Data Scientist,"Interclypse, Inc.","Huntsville, AL",Full-time,"Excellent interpersonal skills and ability to get along with data scientists, engineers, and customers at all levels.
Comprehensive time off and leave programs:",https://www.indeed.com/rc/clk?jk=c34e8a98b5f9adc6&bb=iyky3AQomuxeNprvj0oz9DMS2X2lWLAMHuqEthz8a24zSe55x2b2wfj9zFp6aLGzIEotgNty8fNRulvrKuW9_z9vRjCP65EQ7Pim540DAmom8cBqxoe1g5Ur2EwpvZRA&xkcb=SoC367M3_jNDenxlnp0JbzkdCdPP&fccid=40ea7ad8d5093faa&vjs=3,2024-06-23,Alabama
"Data Scientist, Mid",Booz Allen,"Huntsville, AL","$75,600 - $172,000 a year","As a data scientist, you’re excited at the prospect of unlocking the secrets held by a data set, and you’re fascinated by the possibilities presented by IoT,…",https://www.indeed.com/rc/clk?jk=908b996e5ba98c27&bb=iyky3AQomuxeNprvj0oz9KJK4f_VaZ68qYSdXt3a52VaK9U-t11qb2CjSUk8X2n3QhVaZE7K1U_bM0jD59xephDuA5b0lERZ52TUI0YXMVr2k6MH7QXTbZrm9gnVQW-k&xkcb=SoAD67M3_jNDenxlnp0IbzkdCdPP&fccid=4e041af1d0af1bc8&vjs=3,2024-06-23,Alabama
Senior Data Analyst (U.S. remote eligible),"Eternal Word Television Network, Inc.",Remote in Alabama,,You are experienced using web analytics and Google Analytics tool set as well as working with RESTful APIs for purposes of data integrations.,https://www.indeed.com/rc/clk?jk=400cd0aab0d76507&bb=iyky3AQomuxeNprvj0oz9EmTIM_8rhq8fHCp0BRyDAkej7OOyh2UwW3BYSs5GRhrBtkorCvRROn1-9253kt51NJZ8uZbwVeI8UynrihPHMFfkWTEyis7LCpkxEbkwQF5&xkcb=SoCN67M3_jNDenxlnp0PbzkdCdPP&fccid=0a5c130ab3f85115&vjs=3,2024-06-23,Alabama
AIMSS - Data Scientist (All Levels),Intuitive Research and Technology Corporation,"Huntsville, AL 35805",Full-time,"You will have opportunities to understand machine learning (ML) techniques and algorithms, have experience with common data science toolkits, and gain knowledge…",https://www.indeed.com/rc/clk?jk=bf7e7f21043def21&bb=iyky3AQomuxeNprvj0oz9OFsh4oCT2xpZEmsDC2QG2DOYhyhCUQYnC2HPA3ekL2Gl8swdQWU0hCT_6N8_8JJffHEBeOw0BjAa7EBhtb-gJQFCjfbaxzoDA%3D%3D&xkcb=SoA567M3_jNDenxlnp0ObzkdCdPP&fccid=b43799e75683e524&vjs=3,2024-06-23,Alabama
STATISTICIAN I,University of Alabama at Birmingham,"Birmingham, AL",Day shift,"Collects and analyzes statistical data.
Collects, compiles, and analyzes statistical data.
Performs statistical analyses for a broad spectrum of data and…",https://www.indeed.com/rc/clk?jk=b78b78e7958788ef&bb=iyky3AQomuxeNprvj0oz9OFsh4oCT2xpECQTNDZqsEn4OtjzOxzhiFlqHIXFwgP9ROco6X3aT-fBMoTwjFkgU6XjyyQxedV3bkYlE-xVxaXsjvuw1-BqTw%3D%3D&xkcb=SoCk67M3_jNDenxlnp0NbzkdCdPP&fccid=61b32dc36af3abe6&vjs=3,2024-06-23,Alabama
Data Scientist (Top Secret),"Spry Methods, Inc","Huntsville, AL",Full-time,"Stay updated with the latest advancements in data science, machine learning, and AI technologies.
Ensure data quality and integrity throughout the data…",https://www.indeed.com/rc/clk?jk=4144324e302d602e&bb=iyky3AQomuxeNprvj0oz9MfDEcUOC02vjNAVZqOkf_XDRR094hD52hcULrGIvST3oce4_hdsmht60ZxmnEq_tsQto8yxGIe-IabiRG75d6b7KachZetMBBzV8w97bga_&xkcb=SoAQ67M3_jNDenxlnp0MbzkdCdPP&fccid=a9b195d480ea289b&vjs=3,2024-06-23,Alabama
Senior Data Scientist,Hibbett | City Gear,"Birmingham, AL",Full-time,"Develop project plans, track progress, and communicate status updates to stakeholders to ensure successful project delivery.",https://www.indeed.com/rc/clk?jk=66da143a6d04e3ce&bb=iyky3AQomuxeNprvj0oz9Dv1kyy5KmRpPD5G3jmcOSZfFcwRfLJOUcR1uzgJjM6lhjTSEP8hYeWsT1aQb9SdnP7SDskpy5nmSz9I_xk-mapfwx6TQeWwbfq8bLB2wqrF&xkcb=SoD567M3_jNDenxlnp0DbzkdCdPP&fccid=06bc3f2204ca8f12&vjs=3,2024-06-23,Alabama
"Data Scientist — ""Cancer Biology"" for Academic Research Support",Tuskegee University,"Tuskegee, AL 36088",,"Apply advanced statistical techniques and machine learning algorithms to uncover patterns and insights within research data.
Will this position required travel?",https://www.indeed.com/rc/clk?jk=04bb0ca0f0d27d6d&bb=iyky3AQomuxeNprvj0oz9OZxASJSUrKIpUyOOsO5xdQAL3Is-Mgxh0JZ9nibfCR-Uf_cofW3plU45nOsDNG-yPfqWAD4dYx1NSgyyMdFBcyFhmjkY_Ael9iy_6SMX8Et&xkcb=SoBN67M3_jNDenxlnp0CbzkdCdPP&fccid=f4f46512d6565115&vjs=3,2024-06-23,Alabama
