iter	RMSE
0	47191.03779
1	46511.51568
2	45864.47852
3	45242.7344
4	44679.13139
5	44190.63971
6	43725.71286
7	43279.89274
8	42867.42268
9	42500.75873
10	42176.28796
11	41885.71809
12	41610.58779
13	41355.97848
14	41088.64503
15	40863.56011
16	40618.0027
17	40411.65568
18	40224.97333
19	40055.25461
20	39711.94116
21	39410.8911
22	39136.9433
23	38861.92636
24	38626.62273
25	38397.34295
26	38187.48561
27	37982.95967
28	37811.60382
29	37647.18363
30	37508.30373
31	37378.9285
32	37266.50452
33	37161.14977
34	37057.10585
35	36956.4817
36	36872.15098
37	36780.04515
38	36702.96397
39	36630.46068
40	36560.0889
41	36498.92584
42	36449.23981
43	36387.89666
44	36334.83382
45	36294.30546
46	36253.34684
47	36205.64842
48	36164.01473
49	36135.31585
50	36095.47539
51	36064.08814
52	36031.11353
53	36005.58769
54	35979.90172
55	35950.54026
56	35924.57251
57	35907.14746
58	35874.79023
59	35850.07568
60	35830.52093
61	35805.09945
62	35782.42817
63	35765.99136
64	35750.43483
65	35735.65768
66	35713.40999
67	35695.65506
68	35683.50331
69	35666.77518
70	35660.54606
71	35642.07467
72	35626.65634
73	35617.83131
74	35596.14712
75	35585.62994
76	35578.05364
77	35563.02676
78	35553.93471
79	35545.74727
80	35535.13609
81	35524.84449
82	35511.40632
83	35506.39548
84	35503.88202
85	35491.39525
86	35481.12643
87	35465.11237
88	35458.12024
89	35449.17885
90	35441.83547
91	35437.66421
92	35427.6013
93	35418.59622
94	35415.64253
95	35408.21706
96	35402.55309
97	35395.11429
98	35382.93925
99	35374.00934
100	35367.63165
101	35358.52686
102	35345.14117
103	35333.04897
104	35328.16007
105	35318.34246
106	35309.50725
107	35303.26419
108	35297.44301
109	35294.23413
110	35280.71554
111	35274.79896
112	35264.80558
113	35262.22629
114	35257.41288
115	35248.77233
116	35242.61307
117	35237.59736
118	35231.28323
119	35229.29114
120	35224.57913
121	35217.98547
122	35213.59953
123	35210.12712
124	35198.8794
125	35193.20561
126	35189.9284
127	35183.0536
128	35175.37396
129	35172.95669
130	35168.95811
131	35164.6982
132	35160.48998
133	35151.19378
134	35144.86496
135	35141.83773
136	35140.4885
137	35131.89681
138	35126.57878
139	35112.15291
140	35111.15829
141	35102.72186
142	35101.20162
143	35090.38409
144	35086.23514
145	35081.48404
146	35072.82539
147	35070.7659
148	35065.7879
149	35061.81449
150	35053.52749
151	35046.97863
152	35046.5926
153	35037.48251
154	35035.53582
155	35030.41937
156	35028.49312
157	35024.08375
158	35013.4703
159	35009.84542
160	35007.29724
161	34995.23243
162	34987.6511
163	34985.27675
164	34974.49647
165	34962.10079
166	34947.97022
167	34942.09357
168	34936.75549
169	34931.83842
170	34925.90378
171	34922.91853
172	34920.82418
173	34909.3641
174	34903.83953
175	34897.76922
176	34893.27408
177	34887.59813
178	34885.66885
179	34881.68274
180	34875.93946
181	34872.4667
182	34865.65634
183	34863.16956
184	34861.29663
185	34858.01475
186	34856.42196
187	34855.93
188	34850.18985
189	34846.20543
190	34834.94931
191	34820.9266
192	34815.39327
193	34799.43187
194	34797.40208
195	34795.16778
196	34784.30246
197	34781.57057
198	34780.49176
199	34771.92414
200	34766.8398
201	34757.03295
202	34754.00532
203	34749.07236
204	34745.86644
205	34740.70557
206	34736.69643
207	34731.72624
208	34725.79301
209	34722.66605
210	34713.99805
211	34713.91086
212	34709.24569
213	34705.6669
214	34701.58605
215	34692.00015
216	34691.5489
217	34689.71809
218	34686.61832
219	34685.72429
220	34685.27508
221	34683.9173
222	34682.27492
223	34674.83251
224	34674.48755
225	34673.79755
226	34670.84845
227	34664.39939
228	34658.75513
229	34656.0208
230	34652.81778
231	34642.75162
232	34636.16364
233	34630.72157
234	34629.08215
235	34627.25786
236	34623.17963
237	34621.9648
238	34612.37385
239	34611.87203
240	34611.5972
241	34600.22789
242	34599.87067
243	34587.90477
244	34587.29097
245	34584.2828
246	34582.23567
247	34580.08604
248	34569.03587
249	34562.31326
250	34559.24823
251	34558.69629
252	34553.12412
253	34550.95331
254	34549.0033
255	34547.3838
256	34538.88353
257	34538.44626
258	34530.6566
259	34522.12877
260	34514.39618
261	34512.05486
262	34511.10817
263	34510.6246
264	34504.10793
265	34497.20647
266	34493.96448
267	34493.10836
268	34488.59388
269	34485.28073
270	34479.18854
271	34473.63062
272	34473.29415
273	34472.00744
274	34465.38487
275	34464.98439
276	34461.66119
277	34456.12496
278	34454.91394
279	34450.92312
280	34446.20211
281	34439.66039
282	34431.54584
283	34431.37517
284	34425.66126
285	34425.18494
286	34420.04261
287	34419.61724
288	34410.41259
289	34406.76711
290	34401.00451
291	34398.07639
292	34393.30984
293	34389.8545
294	34386.22916
295	34383.56927
296	34383.21203
297	34378.70754
298	34366.40854
299	34365.63176
300	34365.2805
301	34356.52913
302	34353.32324
303	34348.10797
304	34338.12246
305	34333.6949
306	34328.78276
307	34324.61098
308	34320.88977
309	34315.93372
310	34315.66779
311	34310.57826
312	34310.19833
313	34305.94448
314	34299.32293
315	34296.61507
316	34295.82151
317	34290.68194
318	34290.17848
319	34287.68132
320	34287.02317
321	34285.44891
322	34280.06999
323	34277.53875
324	34269.11308
325	34264.47852
326	34264.11738
327	34259.6216
328	34257.10338
329	34256.60943
330	34252.37668
331	34245.28199
332	34245.06232
333	34242.60616
334	34235.66377
335	34235.2632
336	34234.88461
337	34230.10651
338	34227.99119
339	34227.61721
340	34227.01075
341	34223.48375
342	34218.11642
