iter	Passed	Remaining
0	4	6649
1	9	7295
2	11	5950
3	13	4958
4	14	4401
5	16	4032
6	17	3787
7	19	3586
8	20	3440
9	22	3336
10	24	3256
11	25	3192
12	27	3121
13	28	3074
14	31	3101
15	33	3098
16	35	3108
17	37	3058
18	38	3015
19	40	2976
20	41	2947
21	43	2919
22	45	2905
23	46	2882
24	48	2855
25	49	2824
26	51	2796
27	52	2768
28	54	2748
29	55	2734
30	57	2719
31	58	2701
32	60	2692
33	62	2683
34	63	2669
35	65	2657
36	66	2645
37	68	2628
38	69	2621
39	71	2610
40	72	2597
41	74	2584
42	78	2656
43	79	2644
44	81	2633
45	82	2623
46	84	2613
47	85	2600
48	88	2609
49	89	2602
50	91	2592
51	92	2582
52	94	2573
53	95	2562
54	97	2553
55	98	2541
56	100	2532
57	101	2519
58	102	2509
59	104	2499
60	105	2491
61	107	2486
62	108	2477
63	110	2470
64	111	2464
65	113	2457
66	114	2450
67	116	2444
68	117	2443
69	119	2447
70	121	2441
71	122	2437
72	124	2436
73	126	2429
74	127	2426
75	129	2426
76	131	2422
77	132	2415
78	134	2414
79	135	2408
80	137	2404
81	138	2399
82	140	2396
83	141	2391
84	143	2392
85	145	2387
86	146	2384
87	148	2380
88	150	2378
89	151	2372
90	152	2366
91	154	2364
92	156	2370
93	158	2366
94	159	2362
95	161	2357
96	162	2353
97	164	2353
98	166	2353
99	167	2349
100	169	2344
101	171	2343
102	172	2342
103	174	2341
104	175	2336
105	177	2332
106	178	2330
107	180	2324
108	182	2324
109	183	2321
110	185	2316
111	187	2321
112	189	2320
113	190	2317
114	192	2314
115	193	2309
116	195	2306
117	196	2304
118	198	2306
119	200	2303
120	201	2300
121	203	2302
122	205	2298
123	206	2294
124	208	2290
125	209	2287
126	211	2285
127	212	2282
128	214	2280
129	216	2283
130	218	2283
131	221	2291
132	223	2298
133	225	2297
134	226	2293
135	228	2290
136	230	2292
137	231	2288
138	233	2285
139	234	2282
140	236	2281
141	238	2279
142	240	2277
143	241	2274
144	243	2272
145	245	2275
146	246	2271
147	248	2268
148	249	2265
149	251	2260
150	252	2257
151	254	2254
152	255	2251
153	257	2249
154	258	2246
155	260	2243
156	262	2241
157	263	2238
158	266	2244
159	267	2240
160	269	2240
161	271	2240
162	272	2238
163	274	2238
164	276	2236
165	278	2234
166	280	2236
167	281	2234
168	283	2230
169	284	2227
170	286	2224
171	287	2220
172	289	2217
173	290	2214
174	292	2211
175	293	2208
176	295	2206
177	296	2204
178	298	2201
179	299	2198
180	301	2196
181	302	2193
182	304	2191
183	306	2189
184	307	2187
185	309	2184
186	311	2184
187	312	2181
188	314	2178
189	315	2176
190	317	2173
191	318	2171
192	320	2168
193	321	2165
194	323	2165
195	325	2163
196	326	2160
197	328	2157
198	329	2156
199	331	2154
200	333	2153
201	335	2152
202	336	2152
203	338	2149
204	339	2147
205	341	2144
206	342	2142
207	344	2141
208	346	2139
209	348	2138
210	349	2135
211	350	2129
212	352	2128
213	354	2128
214	355	2125
215	357	2123
216	358	2120
217	360	2119
218	362	2118
219	363	2116
220	365	2114
221	367	2116
222	369	2113
223	370	2112
224	372	2109
225	373	2107
226	375	2104
227	378	2110
228	379	2108
229	381	2104
230	382	2103
231	384	2102
232	386	2100
233	387	2097
234	389	2095
235	390	2093
236	392	2092
237	394	2090
238	395	2088
239	397	2085
240	398	2082
241	400	2082
242	402	2082
243	404	2080
244	405	2076
245	407	2075
246	408	2073
247	410	2071
248	411	2069
249	413	2066
250	414	2064
251	416	2063
252	418	2062
253	420	2060
254	421	2058
255	423	2058
256	426	2060
257	428	2060
258	429	2058
259	431	2056
260	432	2055
261	434	2053
262	436	2051
263	437	2048
264	439	2049
265	441	2047
266	442	2045
267	444	2042
268	445	2040
269	447	2039
270	449	2038
271	451	2036
272	453	2037
273	455	2036
274	456	2034
275	458	2031
276	459	2029
277	461	2027
278	462	2025
279	464	2024
280	466	2021
281	467	2018
282	468	2016
283	470	2015
284	472	2013
285	473	2011
286	475	2008
287	476	2006
288	478	2004
289	480	2002
290	481	2000
291	483	1998
292	484	1995
293	486	1993
294	487	1992
295	489	1990
296	490	1988
297	492	1985
298	494	1984
299	495	1982
300	497	1980
301	498	1977
302	499	1975
303	501	1972
304	503	1972
305	504	1970
306	506	1968
307	507	1965
308	509	1964
309	511	1962
310	512	1959
311	514	1959
312	516	1957
313	518	1958
314	520	1957
315	521	1955
316	523	1953
317	524	1951
318	526	1949
319	528	1947
320	529	1945
321	532	1946
322	533	1945
323	535	1943
324	536	1941
325	538	1939
326	540	1937
327	541	1935
328	543	1934
329	545	1932
330	546	1930
331	548	1929
332	549	1927
333	551	1925
334	553	1923
335	554	1921
336	556	1918
337	557	1917
338	559	1915
339	560	1912
340	562	1910
341	564	1910
342	566	1911
343	568	1910
344	569	1907
345	571	1905
346	572	1903
347	574	1901
348	576	1901
349	578	1899
350	579	1897
351	581	1897
352	583	1894
353	584	1892
354	586	1892
355	588	1890
356	589	1888
357	591	1886
358	592	1884
359	594	1882
360	596	1880
361	598	1881
362	599	1879
363	601	1877
364	602	1874
365	604	1872
366	605	1870
367	607	1868
368	609	1866
369	610	1864
370	612	1862
371	613	1860
372	615	1858
373	616	1856
374	618	1854
375	619	1852
376	621	1850
377	622	1848
378	624	1846
379	625	1844
380	627	1841
381	628	1840
382	630	1839
383	632	1837
384	633	1835
385	635	1832
386	636	1831
387	638	1829
388	640	1828
389	641	1826
390	643	1824
391	644	1822
392	646	1820
393	647	1818
394	649	1816
395	650	1813
396	651	1811
397	653	1809
398	654	1807
399	656	1805
400	658	1803
401	659	1801
402	661	1800
403	662	1797
404	664	1796
405	666	1794
406	667	1792
407	669	1790
408	670	1788
409	672	1786
410	673	1784
411	675	1783
412	676	1781
413	678	1779
414	679	1777
415	681	1775
416	682	1773
417	684	1771
418	686	1770
419	687	1768
420	688	1765
421	690	1764
422	692	1762
423	693	1760
424	695	1758
425	696	1756
426	698	1754
427	699	1752
428	701	1750
429	702	1748
430	704	1746
431	705	1744
432	707	1743
433	708	1741
434	710	1739
435	711	1737
436	713	1735
437	715	1733
438	716	1731
439	717	1729
440	719	1727
441	720	1725
442	723	1725
443	724	1723
444	726	1721
445	727	1719
446	729	1718
447	731	1716
448	732	1714
449	734	1712
450	735	1710
451	737	1709
452	738	1707
453	740	1705
454	741	1703
455	743	1701
456	745	1700
457	746	1699
458	748	1697
459	749	1695
460	751	1693
461	753	1691
462	754	1690
463	756	1688
464	757	1686
465	759	1685
466	761	1683
467	762	1682
468	764	1680
469	765	1678
470	767	1676
471	769	1676
472	771	1674
473	772	1672
474	774	1670
475	775	1668
476	777	1666
477	778	1664
478	780	1662
479	782	1662
480	783	1660
481	785	1658
482	786	1656
483	788	1654
484	790	1653
485	791	1651
486	793	1649
487	795	1650
488	797	1648
489	798	1646
490	800	1644
491	801	1642
492	803	1640
493	804	1639
494	806	1637
495	807	1635
496	809	1633
497	810	1631
498	812	1629
499	814	1628
500	815	1626
501	817	1624
502	818	1622
503	819	1620
504	821	1618
505	822	1616
506	824	1614
507	826	1614
508	828	1613
509	830	1612
510	832	1610
511	833	1608
512	835	1606
513	836	1605
514	838	1603
515	839	1601
516	841	1600
517	843	1598
518	845	1598
519	846	1596
520	848	1594
521	849	1592
522	851	1590
523	852	1588
524	854	1586
525	856	1585
526	858	1584
527	859	1583
528	861	1581
529	863	1579
530	864	1577
531	866	1575
532	867	1574
533	869	1572
534	871	1571
535	872	1569
536	874	1567
537	876	1566
538	878	1566
539	880	1564
540	881	1563
541	883	1561
542	884	1559
543	886	1557
544	887	1555
545	889	1554
546	891	1553
547	893	1552
548	895	1550
549	896	1549
550	898	1548
551	901	1547
552	902	1545
553	904	1544
554	905	1542
555	907	1541
556	909	1539
557	911	1538
558	912	1536
559	914	1534
560	915	1532
561	917	1531
562	919	1529
563	920	1527
564	922	1526
565	924	1524
566	925	1523
567	927	1522
568	929	1520
569	931	1519
570	932	1517
571	934	1515
572	935	1513
573	937	1512
574	938	1510
575	940	1508
576	942	1507
577	944	1506
578	946	1505
579	947	1503
580	949	1501
581	950	1499
582	952	1498
583	954	1496
584	955	1495
585	957	1493
586	960	1493
587	961	1491
