Job Title,Company Name,Classification,Job Type,Location,Job Highlights,Job Description,Salary,Posting Date,Reference
Observability Business Analyst,Talenza,Business/Systems Analysts,Contract/Temp job,Macquarie Park,"['6 Month Contract', '$950 per day including Super', 'Macquarie Park, hybrid']",Exciting Business Analyst opportunity to kick off in 2025!,$900 - $950 p.d. + Including Super,20m ago,https://www.seek.com.au/job/80881587?type=standout&ref=search-standalone
Human Resources Business Partner,MindChamps Early Learning & PreSchool,Consulting & Generalist HR,Full time job,Parramatta,"['Join a movement transforming education and inspiring young minds.', 'Competitive pay and 75% childcare gap fee discount.', 'Thrive in a culture of creativity and impactful learning.']","Join MindChamps to uplift global education, and grow your career with rewarding benefits, international opportunities, and meaningful impact.",Not Provided,38m ago,https://www.seek.com.au/job/80881017?type=standout&ref=search-standalone
"Office Manager (Data, Technology, Leader)",EXPHYS,Office Management,Full time job,Woolooware,"['Commence January 2025 | Lead the Head Office of a National Health Organisation', 'Great Location, New Office, Vibrant and Supportive Work Environment', ""Work with Australia's Largest Insurance Companies and Employers""]",Exciting office leadership role in a vibrant & positive environment. Tech savvy & strong with data. Ownership and responsibility. Insurance Health.,"$85,000 – $105,000 per year",41m ago,https://www.seek.com.au/job/80881004?type=standout&ref=search-standalone
Training and Consulting Services Administration Officer,Full Stop Australia,Administrative Assistants,Full time job,Balmain,[],"Do you thrive on a culture of diversity, inclusion, professionalism and high performance?",Salary plus opt in salary packaging.,42m ago,https://www.seek.com.au/job/80880997?type=standout&ref=search-standalone
Senior HIM and Clinical Coding Lead,Beamtree Pty Ltd,Management,Full time job,North Sydney,[],"The Senior HIM and Clinical Coding Lead will champion our coding products, support their seamless operations, and support successful product delivery.",Not Provided,43m ago,https://www.seek.com.au/job/80880978?type=standout&ref=search-standalone
Asset Planner,Ventia,Other,Full time job,Frenchs Forest,[],"Coordinate the CMMS activity to support Facility Lifecycle Works, Planned Preventative, Annual Works and reactive maintenance programs",Competitive salary + Employee benefits,55m ago,https://www.seek.com.au/job/80880653?type=standard&ref=search-standalone
Social Media Specialist,Ksubi,Other,Full time job,Rosebery,"['Support to drive Ksubi’s social media on a global scale', 'Fastest growing Australian fashion brand Internationally', 'Bring your passion to a highly progressive and motivated culture']",Join Ksubi's Marketing team and be part of one of Australia's greatest global fashion stories ++,Not Provided,1h ago,https://www.seek.com.au/job/80880017?type=standout&ref=search-standalone
2 x Graph DB engineers,Paxus,Engineering - Software,Contract/Temp job,Sydney NSW,"['6 Months Rolling contract', 'Exciting Opportunity and Hybrid role', 'Competitive Rate']","We are seeking a skilled Graph Database Engineer to design, implement, and optimize graph-based solutions.",$600 - $800 p.d. inc. super,1h ago,https://www.seek.com.au/job/80879911?type=standout&ref=search-standalone
Growth Marketer - Wealth and Investments,St Trinity Property Group,"Media Strategy, Planning & Buying",Full time job,Concord,[],"Position Overview:We are seeking a Growth Marketer with a deep understanding of wealth, investment strategies, and real estate portfolios. This rol...",Not Provided,1h ago,https://www.seek.com.au/job/80882111?type=standard&ref=search-standalone
Associate Data Scientist,AMP Services,Treasury,Full time job,Sydney NSW,"[""It's our people that make it a welcoming and enjoyable place to work"", 'Master complex datasets to unlock business insights', 'Create your own tomorrow through career-defining moments']","If you love Data Science, Statistics, and Computer Science, this is a fantastic opportunity to advance your career.",na,1h ago,https://www.seek.com.au/job/80879793?type=standout&ref=search-standalone
Associate Data Scientist,AMP Services,Treasury,Full time job,Sydney NSW,"[""It's our people that make it a welcoming and enjoyable place to work"", 'Master complex datasets to unlock business insights', 'Create your own tomorrow through career-defining moments']","If you love Data Science, Statistics, and Computer Science, this is a fantastic opportunity to advance your career.",na,1h ago,https://www.seek.com.au/job/80879781?type=standout&ref=search-standalone
Research Analyst and Writer,Creative Australia,Other,Contract/Temp job,Sydney NSW,[],We're looking for a Research Analyst and Writer to join our Creative Australia team!,Not Provided,1h ago,https://www.seek.com.au/job/80879724?type=standout&ref=search-standalone
